rank_tier,cwid,name,primary_title,primary_department,confirmed_pubs,active_pi_grants,max_pub_impact
E_tail,"mnociari","Marcelo Mario Nociari","Assistant Professor of Immunology in Ophthalmology","Ophthalmology",19,0,62.0
E_tail,"emg4011","Emilie K Grasset","Assistant Professor of Immunology in Pediatrics","Pediatrics",19,0,63.0
E_tail,"ppn4001","Padma Nanaware","Assistant Professor of Radiation Biology Research in Radiation Oncology","Radiation Oncology",19,0,62.0
E_tail,"mis4060","Mila Sun - Population Health Sciences","Assistant Professor of Population Health Sciences","Population Health Sciences",19,0,60.0
E_tail,"jak9060","Jaime Alison Aaronson","Associate Professor of Clinical Anesthesiology","Anesthesiology",19,0,50.0
E_tail,"alm2036","Alexis Melnick","Associate Professor of Clinical Obstetrics and Gynecology","Obstetrics and Gynecology",19,0,40.0
E_tail,"jej9001","Jacqueline E Jones","Associate Professor of Clinical Otolaryngology","Otolaryngology Head and Neck Surgery",19,0,35.0
E_tail,"ket4007","Keerthi Rajamani","Instructor in Neuroscience","Brain and Mind Research",19,0,64.0
E_tail,"ana9102","Ana Alzaga Fernandez","Assistant Professor of Ophthalmology","Ophthalmology",19,0,
E_tail,"ccl9009","Catherine Lucero","Assistant Professor of Clinical Medicine","Medicine",19,0,64.0
E_tail,"jia9010","Jimmy N Avari","Associate Professor of Clinical Psychiatry","Psychiatry",19,0,45.0
E_tail,"mjc9030","Marina Corines","Assistant Professor of Clinical Radiology","Radiology",19,0,53.0
C_active_PI,"yil4011","Yicheng Long","Assistant Professor of Biochemistry and Biophysics","Biochemistry and Biophysics",18,2,67.0
C_active_PI,"anm4031","Antonio Marzio","Assistant Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",18,2,72.0
C_active_PI,"cap4010","Caroline Pearson","Assistant Professor of Research in Neuroscience","Brain and Mind Research",18,1,57.0
C_active_PI,"des2025","Despina Siolas","Assistant Professor of Medicine","Medicine",18,1,65.0
C_active_PI,"sua2018","Sung Ji Ahn","Instructor in Neuroscience","Brain and Mind Research",18,1,65.0
C_active_PI,"mel4003","Mengze Lyu","Instructor of Microbiology and Immunology in Medicine","Medicine",18,1,76.0
E_tail,"los9075","Asim Shahid","Associate Professor of Clinical Pediatrics (Pending Appointment at Rank)","Pediatrics",18,0,58.0
E_tail,"wapfeldo","William Jay Apfeldorf","Associate Professor of Clinical Psychiatry","Psychiatry",18,0,
E_tail,"jag9027","James J. Gallagher","Associate Professor of Clinical Surgery","Surgery",18,0,55.0
E_tail,"keh4012","Kevin Heinze","Assistant Professor of Ophthalmology","Ophthalmology",18,0,36.0
E_tail,"jmm4004","Jamie Marino","Assistant Professor of Clinical Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",18,0,65.0
E_tail,"unn2001","Unwanaobong Nseyo","Assistant Professor of Urology","Urology",18,0,
E_tail,"snb9006","Sonja Blum","Associate Professor of Clinical Neurology (Pending Appointment at Rank)","Neurology",18,0,
E_tail,"shl2034","Shenela Lakhani","Assistant Professor of Research in Neuroscience","Brain and Mind Research",18,0,74.0
E_tail,"mam9276","Manmeet Malik","Assistant Professor of Clinical Surgery","Surgery",18,0,44.0
E_tail,"liy2010","Liron Yoffe","Assistant Professor of Radiation Biology in Radiation Oncology","Radiation Oncology",18,0,69.0
E_tail,"lzn9004","Annika Windon","Assistant Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",18,0,50.0
E_tail,"dik9025","Diana Khatib","Assistant Professor of Clinical Anesthesiology","Anesthesiology",18,0,41.0
E_tail,"jcb9023","Jules Beal","Assistant Professor of Clinical Pediatrics","Pediatrics",18,0,
E_tail,"btm9003","Barbara Ma","Assistant Professor of Medicine","Medicine",18,0,34.0
E_tail,"odb4002","Oded Bein","Instructor of Psychology in Psychiatry","Psychiatry",18,0,62.0
E_tail,"lcs7001","Leah C Susser","Assistant Professor of Clinical Psychiatry","Psychiatry",18,0,62.0
E_tail,"mip9116","Michelle Primiano","Instructor of Human Genetics in Radiology","Radiology",18,0,50.0
E_tail,"rig4007","Ria Goswami","Assistant Professor of Virology in Pediatrics","Pediatrics",18,0,56.0
E_tail,"prasadm","Mukesh Prasad","Associate Professor of Clinical Otolaryngology","Otolaryngology Head and Neck Surgery",18,0,
E_tail,"ana4036","Anna Apostolopoulou","Instructor-Clinical","Medicine",18,0,44.0
E_tail,"spd9005","Silvina P Dutruel","Assistant Professor of Clinical Radiology","Radiology",18,0,40.0
E_tail,"tij9024","Tikva Jacobs","Assistant Professor of Clinical Surgery (Vascular Surgery)","Surgery",18,0,
E_tail,"jrw9011","Jeremy Wiygul","Assistant Professor of Clinical Urology","Urology",18,0,
E_tail,"toc9021","Todd Cutler","Clinical Associate Professor of Medicine","Medicine",18,0,37.0
E_tail,"eao9004","Elisabeth O'Dwyer","Assistant Professor of Clinical Radiology","Radiology",18,0,55.0
E_tail,"bap9037","Balaji Pandian","Instructor in Anesthesiology","Anesthesiology",18,0,55.0
E_tail,"cdk4002","Crystal Kamilaris","Assistant Professor of Clinical Medicine","Medicine",18,0,20.0
E_tail,"eot9002","Evelyn Oluwatoyin Taiwo","Clinical Associate Professor of Medicine","Medicine",18,0,48.0
E_tail,"lel9080","Lea Lowenfeld","Assistant Professor of Surgery","Surgery",18,0,40.0
C_active_PI,"jel2049","Jennifer R Linden","Assistant Professor of Research in Neuroscience","Brain and Mind Research",17,2,65.0
C_active_PI,"ckg2001","Caitlin K Gribbin","Assistant Professor of Medicine","Medicine",17,1,43.0
C_active_PI,"saf7007","Sasha Fahme","Assistant Professor of Medicine","Medicine",17,1,56.0
C_active_PI,"drp9007","David Price","Assistant Professor of Medicine","Medicine",17,1,74.0
C_active_PI,"wzz9001","William Zhengyang Zhang","Assistant Professor of Medicine","Medicine",17,1,56.0
E_tail,"mig2021","Miriam Gordillo","Assistant Professor of Cell and Developmental Biology Research in Surgery","Surgery",17,0,61.0
E_tail,"yoh4003","Yongfeng He","Assistant Professor of Cancer Biology Research in Cardiothoracic Surgery","Cardiothoracic Surgery",17,0,69.0
E_tail,"urd4002","Urko del Castillo Rojo","Instructor of Cancer Biology in Medicine","Medicine",17,0,45.0
E_tail,"haw9009","Halina White","Assistant Professor of Clinical Neurology","Neurology",17,0,55.0
E_tail,"kac2032","Karen Chernoff","Associate Professor of Clinical Dermatology","Dermatology",17,0,
E_tail,"coo9025","Corrina M Oxford","Assistant Professor of Clinical Obstetrics and Gynecology","Obstetrics and Gynecology",17,0,63.0
E_tail,"med4016","Megan D’Andrea","Assistant Professor of Medicine","Medicine",17,0,
E_tail,"trg2005","Tracy Grossman","Assistant Professor of Clinical Obstetrics and Gynecology","Obstetrics and Gynecology",17,0,41.0
E_tail,"mod9040","Moises Dominguez","Assistant Professor of Clinical Neurology","Neurology",17,0,56.0
E_tail,"ccr4009","Caroline Cromwell","Associate Professor of Medicine (Pending Appointment at Rank)","Medicine",17,0,
E_tail,"pcl4001","Pablo Loarte-Campos","Assistant Professor of Clinical Medicine","Medicine",17,0,
E_tail,"wez4002","Wen Zhang","Instructor of Immunology in Medicine","Medicine",17,0,76.0
